2024/03/04 02:53:45 [error] 9#9: *5 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/"
2024/03/05 04:23:26 [error] 11#11: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/123"
2024/03/05 04:23:35 [error] 11#11: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.21.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:24:27 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.22.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:37:07 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:41:54 [error] 9#9: *17 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:42:19 [error] 12#12: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:45:04 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:05 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:05 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:05 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:05 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:06 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:06 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:06 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:06 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:45:06 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 04:47:18 [error] 12#12: *67 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:49:08 [error] 10#10: *84 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:50:39 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.25.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:52:14 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.26.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:54:59 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:57:53 [error] 10#10: *6 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:58:16 [error] 10#10: *6 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 04:58:59 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.31.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 05:29:29 [error] 9#9: *5 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:5000", referrer: "https://localhost:5000/"
2024/03/05 05:29:33 [error] 9#9: *9 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/05 05:30:09 [error] 9#9: *9 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/05 05:41:47 [error] 11#11: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.16.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:5000", referrer: "https://localhost:5000/"
2024/03/05 05:41:52 [error] 9#9: *6 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.16.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:05:46 [error] 9#9: *5 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost:5000", referrer: "https://localhost:5000/"
2024/03/06 04:05:52 [error] 9#9: *11 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:05:52 [error] 9#9: *11 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.18.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:22:02 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.22.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:24:16 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.23.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:26:55 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:28:08 [error] 9#9: *16 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.24.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:34:09 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.25.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 04:34:22 [error] 9#9: *14 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.25.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:07:51 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.26.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:08:28 [error] 9#9: *19 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.26.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:16:29 [error] 8#8: *5 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:17:17 [error] 8#8: *5 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:17:17 [error] 8#8: *5 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:17:39 [error] 8#8: *18 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:18:45 [error] 9#9: *6 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.28.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:19:03 [error] 10#10: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.28.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:19:42 [error] 10#10: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.28.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:20:37 [error] 10#10: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.28.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:23:34 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.29.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:23:52 [error] 9#9: *17 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.29.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:24:50 [error] 10#10: *4 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:24:56 [error] 10#10: *14 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:25:06 [error] 10#10: *14 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:26:33 [error] 9#9: *35 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.30.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:29:12 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.31.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:29:12 [error] 9#9: *7 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.31.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:31:19 [error] 10#10: *37 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 172.31.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:34:30 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:31 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:31 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:31 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:31 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:31 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:32 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:32 [error] 10#10: *3 open() "/var/www/html/favicon.ico" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/v2/game/"
2024/03/06 05:34:40 [error] 11#11: *29 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:34:44 [error] 11#11: *19 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.0.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:36:38 [error] 11#11: *3 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.16.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:36:46 [error] 9#9: *8 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.16.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:38:11 [error] 8#8: *4 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
2024/03/06 05:38:18 [error] 8#8: *8 open() "/var/www/html/images/Net.png" failed (2: No such file or directory), client: 192.168.32.1, server: , request: "GET /images/Net.png HTTP/1.1", host: "127.0.0.1:5000", referrer: "https://127.0.0.1:5000/home/"
